chip_id	input_id	method	chrom	input_factor	mutant_id
544_S2-ChIP_1	544_S2-ChIP-OIN_1	global_lambda	II	0.031791885190820816	544
544_S2-ChIP_1	544_S2-ChIP-OIN_1	linear_regression	III	0.05140679620839121	544
544_S2-ChIP_1	544_S2-ChIP-OIN_1	global_lambda	III	0.056532416138432365	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	linear_regression	I	0.16445135661671498	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	global_lambda	I	0.17293288002337398	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	linear_regression	II	0.14463500806422952	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	global_lambda	II	0.15647713316907008	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	linear_regression	III	0.18198318734747496	544
544_S2-ChIP_2	544_S2-ChIP-OIN_1	global_lambda	III	0.18513480952859315	544
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	I	0.0959850369361282	591
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	I	0.1126921610977002	591
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	II	0.10484494982753473	591
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	II	0.1267172676389184	591
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	linear_regression	III	0.09688970686628222	591
591_S2-ChIP_1	510_S2-ChIP-INPUT_1	global_lambda	III	0.1180117577096696	591
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	linear_regression	I	0.5853492611121134	638
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	global_lambda	I	0.701917188350571	638
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	linear_regression	II	0.6346184687429826	638
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	global_lambda	II	0.9202624887825308	638
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	linear_regression	III	0.6598232042272153	638
638_S2-ChIP_1	638_S2-ChIP-INPUT_1	global_lambda	III	0.8313124731809869	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	linear_regression	I	0.4247922118965574	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	global_lambda	I	0.4867098189983667	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	linear_regression	II	0.3040290690481534	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	global_lambda	II	0.4546253365240802	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	linear_regression	III	0.4439930873578822	638
638_S2-ChIP_2	638_S2-ChIP-INPUT_1	global_lambda	III	0.5746907369259111	638
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	linear_regression	I	0.41830673188312495	80
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	global_lambda	I	0.5195238499165866	80
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	linear_regression	II	0.3671078909742867	80
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	global_lambda	II	0.5047605188757691	80
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	linear_regression	III	0.4118789501489409	80
80_S2-ChIP_1	80_S2-ChIP-INPUT_1	global_lambda	III	0.5954595316274908	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	linear_regression	I	0.8021245540452259	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	global_lambda	I	0.942822405066868	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	linear_regression	II	0.5043914395297643	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	global_lambda	II	0.7224139364709795	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	linear_regression	III	0.5798765232770674	80
80_S2-ChIP_2	80_S2-ChIP-INPUT_1	global_lambda	III	0.8558624970048015	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	linear_regression	I	1.1501966572517288	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	global_lambda	I	1.4209686996352509	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	linear_regression	II	0.9403240814288634	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	global_lambda	II	1.2982080492266754	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	linear_regression	III	1.1773527302624465	80
80_S2-ChIP_3	80_S2-ChIP-INPUT_1	global_lambda	III	1.6340245317044366	80
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	linear_regression	I	0.5876262010691543	WT
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	global_lambda	I	0.9191073247181976	WT
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	linear_regression	II	0.6449294151541342	WT
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	global_lambda	II	0.9884069611780456	WT
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	linear_regression	III	1.0440593328065657	WT
WT_S2-ChIP_1	WT_S2-ChIP-INPUT_1	global_lambda	III	1.408512784078355	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	linear_regression	I	0.4813623306268622	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	global_lambda	I	0.6447096941816569	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	linear_regression	II	0.34024776721405925	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	global_lambda	II	0.5730120481927711	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	linear_regression	III	0.5296995623043632	WT
WT_S2-ChIP_3	WT_S2-ChIP-INPUT_1	global_lambda	III	0.720816131433592	WT
